city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
140,yuncheng,88,CN,1530250440,59,35.03,111.0,86.27,3.27
141,klaksvik,36,FO,1530249600,100,62.23,-6.59,46.4,6.93
142,narsaq,88,GL,1530247800,87,60.91,-46.05,42.8,1.36
143,puerto ayora,68,EC,1530250440,99,-0.74,-90.35,71.69,10.65
144,tutayev,0,RU,1530250440,51,57.89,39.54,76.46,4.61
145,saint-philippe,1,CA,1530248400,93,45.36,-73.48,68.0,5.82
146,killybegs,0,IE,1530249864,78,54.63,-8.45,61.61,4.61
147,salgueiro,76,BR,1530250441,80,-8.07,-39.12,67.28,9.08
148,aranjuez,0,ES,1530246600,82,40.03,-3.6,64.4,4.7
149,tuatapere,88,NZ,1530250441,100,-46.13,167.69,46.31,4.16
150,elizabeth city,1,US,1530248340,100,36.3,-76.22,80.6,3.04
151,whitefish,90,US,1530248100,87,48.41,-114.33,55.4,2.37
152,imbituba,40,BR,1530248400,93,-28.24,-48.67,64.4,5.73
153,hobart,75,AU,1530248400,87,-42.88,147.33,50.0,8.05
154,sayyan,0,YE,1530250442,14,15.17,44.32,79.97,2.48
155,liwale,68,TZ,1530250442,84,-9.8,37.92,69.89,5.39
156,santiago del estero,64,AR,1530250442,93,-27.8,-64.26,53.87,2.93
157,solnechnyy,80,RU,1530250442,88,50.72,136.64,68.99,3.6
158,pevek,56,RU,1530250443,80,69.7,170.27,40.37,6.4
159,south yuba city,1,US,1530248280,53,39.12,-121.64,75.2,4.7
160,vangaindrano,0,MG,1530250443,92,-23.35,47.6,65.84,3.38
161,arraias,0,BR,1530250443,56,-12.93,-46.94,66.83,11.43
162,capinzal,36,BR,1530250443,98,-27.34,-51.61,60.17,9.75
163,biak,88,ID,1530250443,97,-0.91,122.88,77.63,3.71
164,la peca,32,PE,1530250443,98,-5.61,-78.44,58.73,0.58
165,biltine,20,TD,1530250444,76,14.53,20.93,75.65,11.99
166,tambacounda,0,SN,1530248400,78,13.77,-13.67,80.6,4.7
167,puerto ayacucho,88,CO,1530249854,99,5.66,-67.63,72.05,1.7
168,katsuura,75,JP,1530249600,88,33.93,134.5,80.6,6.93
169,la esperanza,1,HN,1530248280,100,14.31,-88.18,71.6,4.7
170,alta floresta,0,BR,1530250445,70,-9.87,-56.08,70.7,2.93
171,avarua,20,CK,1530244800,53,-21.21,-159.78,73.4,4.7
172,ushtobe,0,KZ,1530250445,33,45.25,77.98,83.39,16.46
173,aklavik,90,CA,1530248400,87,68.22,-135.01,53.6,6.93
174,san pedro,92,AR,1530250446,96,-33.68,-59.66,56.66,3.6
175,deneysville,0,ZA,1530250446,91,-26.89,28.1,47.48,12.88
176,matara,0,PE,1530250447,78,-13.74,-72.9,27.41,2.71
177,espinosa,0,BR,1530250447,96,-14.92,-42.81,58.64,9.42
178,tokur,76,RU,1530250447,79,53.13,132.9,64.67,2.71
179,coahuayana,88,MX,1530250447,97,18.62,-100.35,64.04,1.92
180,novosysoyevka,88,RU,1530250447,79,44.23,133.36,72.14,3.71
181,bauta,0,CU,1530248100,94,22.98,-82.55,75.2,2.24
182,ayan,20,TR,1530250448,75,40.67,33.6,62.87,2.93
183,nyurba,8,RU,1530250448,50,63.29,118.35,74.93,4.27
184,ginda,56,IN,1530250448,91,30.69,78.49,68.45,1.81
185,gilgit,92,PK,1530250448,100,35.92,74.31,36.77,0.13
186,nazas,92,MX,1530250448,98,25.22,-104.11,59.18,2.93
187,bowen,75,AU,1530244800,65,-20.01,148.25,78.8,13.87
188,pyaozerskiy,92,RU,1530250448,99,65.83,31.17,47.12,14.67
189,civitavecchia,20,IT,1530248100,77,42.09,11.79,62.6,4.72
190,necochea,80,AR,1530249855,95,-38.55,-58.74,44.06,4.27
191,iwanai,92,JP,1530250449,95,42.97,140.51,63.68,4.38
192,leh,88,IN,1530250449,99,34.16,77.58,32.27,1.92
193,bambous virieux,20,MU,1530248400,56,-20.34,57.76,73.4,9.17
194,alofi,8,NU,1530244800,60,-19.06,-169.92,73.4,10.29
195,lindas,20,NO,1530250449,95,60.74,5.16,51.26,2.59
196,namatanai,36,PG,1530250450,100,-3.66,152.44,80.69,6.62
197,victoria,75,BN,1530246600,79,5.28,115.24,87.8,4.7
198,sao filipe,0,CV,1530250450,99,14.9,-24.5,73.49,15.79
199,hopkinsville,20,US,1530248160,94,36.87,-87.49,71.6,2.48
200,augusta,90,US,1530248160,100,44.31,-69.78,66.2,6.4
201,denpasar,20,ID,1530246600,70,-8.65,115.22,84.2,16.11
202,zeya,88,RU,1530250450,89,53.74,127.27,64.94,2.93
203,mtwara,64,TZ,1530250451,100,-10.28,40.18,76.19,13.67
204,batemans bay,20,AU,1530250451,95,-35.71,150.18,55.13,1.7
205,haguenau,0,FR,1530249600,68,48.82,7.79,68.0,8.05
206,yellowknife,75,CA,1530248400,87,62.45,-114.38,55.4,3.36
207,lodeynoye pole,48,RU,1530250451,46,60.73,33.55,74.66,8.63
208,tasiilaq,92,GL,1530247800,86,65.61,-37.64,41.0,25.28
209,celestun,0,MX,1530250451,96,20.87,-90.4,83.03,19.82
210,wasilla,90,US,1530248160,55,61.58,-149.44,62.6,4.7
211,nizhniy kuranakh,32,RU,1530250452,77,58.84,125.49,65.75,3.38
212,broken hill,12,AU,1530249871,65,-31.97,141.45,56.39,12.33
213,lompoc,75,US,1530248280,82,34.64,-120.46,66.2,16.11
214,longyearbyen,75,NO,1530247800,75,78.22,15.63,41.0,14.99
215,naze,90,NG,1530248400,100,5.43,7.07,71.6,5.61
216,genhe,36,CN,1530250416,79,50.78,121.52,65.21,8.3
217,susanville,1,US,1530248100,32,40.42,-120.65,69.8,6.93
218,ukiah,1,US,1530248160,42,39.15,-123.21,66.2,9.17
219,bathsheba,40,BB,1530248400,78,13.22,-59.52,80.6,20.8
220,lufkin,1,US,1530249000,78,31.34,-94.73,82.4,8.05
221,severo-kurilsk,92,RU,1530250453,96,50.68,156.12,45.23,14.23
222,aldan,32,RU,1530250453,77,58.61,125.39,65.75,3.38
223,sept-iles,90,CA,1530248400,77,50.2,-66.38,59.0,5.82
224,port moresby,40,PG,1530244800,66,-9.47,147.16,87.8,17.22
225,yandyki,20,RU,1530250453,55,45.77,47.13,91.85,15.79
226,faya,32,SA,1530248400,17,18.39,42.45,80.6,4.5
227,cabo san lucas,5,MX,1530247500,51,22.89,-109.91,80.6,5.82
228,sinnamary,12,GF,1530250454,98,5.38,-52.96,80.33,6.4
229,saint-augustin,20,FR,1530248400,82,44.83,-0.61,62.6,1.12
230,te anau,32,NZ,1530250454,93,-45.41,167.72,35.96,2.48
231,guerrero negro,64,MX,1530250454,98,27.97,-114.04,62.87,6.96
232,berlevag,75,NO,1530247800,87,70.86,29.09,44.6,16.11
233,yerbogachen,64,RU,1530250454,56,61.28,108.01,70.7,6.51
234,flinders,75,AU,1530244800,47,-34.58,150.85,59.0,18.34
235,torbay,75,CA,1530248400,82,47.66,-52.73,57.2,23.04
236,rudnogorsk,12,RU,1530250455,42,57.27,103.75,77.09,4.83
237,the valley,20,AI,1530248400,69,18.22,-63.06,80.6,9.17
238,veraval,0,FR,1530248400,77,49.65,0.71,62.6,9.17
239,swan hill,80,AU,1530250455,94,-35.34,143.56,52.07,11.21
240,santiago,75,CL,1530248400,87,-33.44,-70.65,50.0,3.36
241,arraial do cabo,0,BR,1530250456,95,-22.97,-42.02,69.44,11.99
242,juegang,32,CN,1530250456,94,32.31,121.18,80.06,6.51
243,vanavara,88,RU,1530250457,53,60.35,102.28,73.22,4.27
244,lorengau,36,PG,1530249860,100,-2.02,147.27,83.39,4.16
245,ust-nera,68,RU,1530250457,61,64.57,143.24,56.39,2.37
246,gizo,40,IL,1530247800,57,31.8,34.94,80.6,8.05
247,muscat,0,OM,1530247800,59,23.6,58.55,95.0,9.17
248,massaguet,20,TD,1530248400,74,12.48,15.44,78.8,9.19
249,greenwood,1,US,1530248160,100,34.2,-82.16,75.2,3.36
250,qianguo,0,CN,1530250205,49,45.12,124.86,85.19,11.65
251,hualmay,24,PE,1530250458,91,-11.1,-77.61,51.17,3.27
252,urucara,20,BR,1530250458,87,-2.54,-57.76,75.74,2.37
253,alyangula,68,AU,1530250458,82,-13.85,136.42,80.69,15.57
254,lokot,32,RU,1530250458,54,52.57,34.57,74.84,10.98
255,paciran,24,ID,1530250458,53,-6.9,112.33,91.13,4.94
256,kysyl-syr,0,RU,1530250459,41,63.9,122.77,72.77,5.5
257,ostrovnoy,92,RU,1530250459,100,68.05,39.51,44.87,7.85
258,bologoye,0,RU,1530250459,49,57.88,34.11,76.82,7.63
259,puerto suarez,0,BO,1530250459,79,-18.96,-57.8,68.0,4.5
260,dauphin,75,CA,1530248400,63,51.15,-100.04,66.2,3.36
261,nanortalik,80,GL,1530250459,99,60.14,-45.24,36.14,17.47
262,clyde river,1,CA,1530248400,89,70.47,-68.59,35.6,24.16
263,humaita,0,AR,1530248400,93,-24.93,-65.37,48.2,2.24
264,normal,1,US,1530248160,94,40.51,-88.99,73.4,9.17
265,virginia beach,1,US,1530249300,88,36.85,-75.98,80.6,3.04
266,samana,20,EC,1530250460,99,0.12,-76.97,66.83,2.04
267,port blair,88,IN,1530249776,100,11.67,92.75,77.27,9.31
268,isla mujeres,40,MX,1530247500,94,21.23,-86.73,80.6,6.51
269,boende,44,CD,1530250460,93,-0.28,20.88,73.04,3.04
270,kralendijk,88,BQ,1530248100,78,12.15,-68.27,80.6,14.99
271,kamalasai,75,TH,1530244800,70,16.34,103.57,86.0,9.17
272,salalah,75,OM,1530247800,89,17.01,54.1,84.2,8.05
273,nioro,0,GM,1530250461,98,13.79,-15.05,72.05,7.18
274,natal,20,BR,1530248400,83,-5.81,-35.21,73.4,4.7
275,qasigiannguit,48,GL,1530247800,86,68.82,-51.19,37.4,6.93
276,malaya serdoba,0,RU,1530250461,36,52.47,44.96,80.96,6.62
277,ust-kulom,0,RU,1530250461,41,61.69,53.69,66.92,3.71
278,mayabon,40,PH,1530248400,70,9.1,123.17,89.6,11.41
279,sambava,76,MG,1530250462,100,-14.27,50.17,74.39,14.79
280,port macquarie,0,AU,1530248400,77,-31.43,152.91,59.0,8.05
281,mehamn,75,NO,1530247800,87,71.03,27.85,44.6,16.11
282,fortuna,75,ES,1530248400,88,38.18,-1.13,73.4,4.7
283,detva,20,SK,1530248820,82,48.54,19.42,68.0,2.24
284,whitehorse,75,CA,1530248400,44,60.72,-135.06,59.0,12.75
285,mersing,36,MY,1530250463,87,2.43,103.84,85.73,8.75
286,hofn,80,IS,1530250463,94,64.25,-15.21,49.01,6.51
287,qaanaaq,0,GL,1530250463,86,77.48,-69.36,35.24,11.99
288,matamoros,1,US,1530247980,88,25.87,-97.51,82.4,12.75
289,telemaco borba,0,BR,1530250464,79,-24.32,-50.62,52.79,4.94
290,abu zabad,12,SD,1530250464,74,12.35,29.25,77.18,8.86
291,khartoum,0,SD,1530248400,57,15.59,32.54,78.8,11.41
292,sur,0,OM,1530250464,78,22.57,59.53,89.51,8.63
293,waingapu,44,ID,1530250464,56,-9.65,120.26,83.84,11.88
294,port hedland,48,AU,1530248400,12,-20.31,118.58,82.4,14.99
295,port-gentil,75,GA,1530248400,88,-0.72,8.78,75.2,6.93
296,grindavik,90,IS,1530248400,100,63.84,-22.43,51.8,10.29
297,luanda,90,AO,1530248400,83,-8.83,13.24,71.6,3.36
298,coracora,0,PE,1530250465,67,-15.02,-73.78,23.09,2.71
299,vila velha,75,BR,1530248400,74,-3.71,-38.6,78.8,16.11
300,hambantota,20,LK,1530250465,94,6.12,81.12,82.31,11.65
301,kloulklubed,90,PW,1530247980,79,7.04,134.26,84.2,5.82
302,saint-leu,75,RE,1530248400,43,-21.15,55.28,73.4,5.82
303,gweta,0,BW,1530250466,55,-20.21,25.26,46.67,6.62
304,paracatu,8,BR,1530250466,58,-17.22,-46.87,62.06,9.19
305,araouane,0,ML,1530250466,35,18.9,-3.53,73.31,6.17
